s,name,cname
http://example.com/heritage/id/106771257w,Church of Saint Justus,Spain
http://example.com/heritage/id/106771472w,Church of Saint Vincent,Spain
http://example.com/heritage/id/106771502w,Church of Saint Peter,Spain
http://example.com/heritage/id/106781931w,Garden of Pazo do Picón,Spain
http://example.com/heritage/id/10682071w,Strūves parks,Latvia
http://example.com/heritage/id/106831541w,"House at 24 Rúa Nova street, Santiago de Compostela",Spain
http://example.com/heritage/id/106833525w,"Houses at 14, 16, 17 and 19 Rúa Nova street, Santiago de Compostela",Spain
http://example.com/heritage/id/106839028w,Church of Saint Martin,Spain
http://example.com/heritage/id/106839138w,Touriño House,Spain
http://example.com/heritage/id/106839655w,"Chapel of Saint Cajetan, Santiago de Compostela",Spain
http://example.com/heritage/id/106839937w,Wayside cross of Sar,Spain
http://example.com/heritage/id/106840049w,"Church of Saint Vicent, Marantes",Spain
http://example.com/heritage/id/106840233w,"Chapel of Our Lady of Sorrows, Agualada",Spain
http://example.com/heritage/id/106840442w,Wayside cross in the Cemetery of Nemenzo,Spain
http://example.com/heritage/id/106840443w,Church of Saint Christine,Spain
http://example.com/heritage/id/106840524w,House of the Gil de la Peña Family,Spain
http://example.com/heritage/id/10684553w,Mustaviiri,Finland
http://example.com/heritage/id/106860598w,Church of Saint Mary,Spain
http://example.com/heritage/id/106860599w,"Horreo of Cepeda, Marrozos",Spain
http://example.com/heritage/id/106860601w,"Horreo of Ermelilda, Marrozos",Spain
http://example.com/heritage/id/106860602w,"Horreo of Vázquez, Marrozos",Spain
http://example.com/heritage/id/106861824w,Stone Cross of Canon House of Santa María de Villestro,Spain
http://example.com/heritage/id/106861898w,Church of Saint Mary of Villestro,Spain
http://example.com/heritage/id/106862234w,Rectory House of Villestro,Spain
http://example.com/heritage/id/106869655w,Church of Saint Mary,Spain
http://example.com/heritage/id/106872241w,"Wayside Cross of Chapel of Santa Lucía, Santiago de Compostela",Spain
http://example.com/heritage/id/106872242w,Chapel of Saint Lucy,Spain
http://example.com/heritage/id/106872771w,Chapel of San Paio do Monte,Spain
http://example.com/heritage/id/106872950w,Church of Saint Peter de Fora,Spain
http://example.com/heritage/id/106873800w,Church of Carmen de Abajo,Spain
http://example.com/heritage/id/106874888w,"House at 20 Casas Reais street, Santiago de Compostela",Spain
http://example.com/heritage/id/106874889w,"Wayside Cross at Castrón Douro street, Santiago de Compostela",Spain
http://example.com/heritage/id/106874890w,Cordero Carreta House,Spain
http://example.com/heritage/id/106874891w,Gamallo House,Spain
http://example.com/heritage/id/106875127w,Cruceiro Campo do Galo,Spain
http://example.com/heritage/id/106882028w,"House at 2 Costa de San Domingos street, Santiago de Compostela",Spain
http://example.com/heritage/id/106882029w,Fountain of Santa Clara,Spain
http://example.com/heritage/id/106882030w,"Building at 15 Mazarelos square, Santiago de Compostela",Spain
http://example.com/heritage/id/106882031w,"House at 1 Pescadería Vella square, Santiago de Compostela",Spain
http://example.com/heritage/id/106884972w,"Building at 5 Cervantes square, Santiago de Compostela",Spain
http://example.com/heritage/id/106884973w,"Wayside Cross at San Fiz de Solovio square, Santiago de Compostela",Spain
http://example.com/heritage/id/106886064w,Braudon family house,Spain
http://example.com/heritage/id/106886065w,Amarantos family house,Spain
http://example.com/heritage/id/106888007w,Asorey family house,Spain
http://example.com/heritage/id/106888011w,"House at 17 Rúa do Vilar, Santiago de Compostela",Spain
http://example.com/heritage/id/106888013w,"Buildings at 34, 36, 38, 40 and 72-80 Rúa do Vilar, Santiago de Compostela",Spain
http://example.com/heritage/id/106888014w,"Buildings at 42, 46, 50, and 61 Rúa do Vilar, Santiago de Compostela",Spain
http://example.com/heritage/id/106888015w,"Wayside Cross at Rúa Vista Alegre, Santiago de Compostela",Spain
http://example.com/heritage/id/106888777w,Church of Saint Julian,Spain
http://example.com/heritage/id/106889902w,Subdelegacion del Gobierno,Spain
http://example.com/heritage/id/106890034w,Facultad de Teología del Norte de España-Sede Burgos,Spain
http://example.com/heritage/id/106898201w,Church of Saint Mary,Spain
http://example.com/heritage/id/106898202w,Church of Saint Martin,Spain
http://example.com/heritage/id/106899685w,"Rectory House, Fecha, Santiago de Compostela",Spain
http://example.com/heritage/id/106899687w,Hórreo das Tres Cepas,Spain
http://example.com/heritage/id/106899688w,Church of Saint John,Spain
http://example.com/heritage/id/106899689w,"Chapel of Lamascal, Fecha, Santiago de Compostela",Spain
http://example.com/heritage/id/106899691w,"Wayside cross in Figueiras, Santiago de Compostela",Spain
http://example.com/heritage/id/106900415w,Chapel of A Uceira,Spain
http://example.com/heritage/id/106900416w,Chapel of Our Lady of Bethlehem,Spain
http://example.com/heritage/id/106901411w,Wayside Cross by Camiño Real de Piñeiro,Spain
http://example.com/heritage/id/106901412w,Hórreo of Manuel de Xertrudis,Spain
http://example.com/heritage/id/106901418w,"Church of Saint Christopher, O Eixo",Spain
http://example.com/heritage/id/106906738w,Hórreo de Neves,Spain
http://example.com/heritage/id/106906739w,Hórreo de Sampano,Spain
http://example.com/heritage/id/106906740w,Domingo Cepero School,Spain
http://example.com/heritage/id/106916341w,"Wayside Cross of Saint Mary Church, Cesar, Santiago de Compostela",Spain
http://example.com/heritage/id/106916343w,Church of Saint Mary,Spain
http://example.com/heritage/id/106916414w,"Church of Saint Julian, O Carballal, Santiago de Compostela",Spain
http://example.com/heritage/id/106916523w,Church of Saint Peter,Spain
http://example.com/heritage/id/106916529w,"Church of Saint Mary, Verdía, Santiago de Compostela",Spain
http://example.com/heritage/id/106916911w,House of the Bazán family,Spain
http://example.com/heritage/id/106916913w,"Wayside Cross in Aríns, Santiago de Compostela",Spain
http://example.com/heritage/id/106916916w,Wayside Cross of A Casa Da Torre Branca,Spain
http://example.com/heritage/id/106920052w,"Colegio de la Compañía, Santiago de Compostela",Spain
http://example.com/heritage/id/106920675w,"House at 12 Casas Reais street, Santiago de Compostela",Spain
http://example.com/heritage/id/106920678w,"House at 3 Rúa Tras Salomé street, Santiago de Compostela",Spain
http://example.com/heritage/id/106922411w,Chapel de Santas Mariñas,Spain
http://example.com/heritage/id/106922412w,Fountain of Santas Mariñas,Spain
http://example.com/heritage/id/106922413w,Chapel of Pastoriza,Spain
http://example.com/heritage/id/106924084w,Wayside Cross of Lamas de Abade,Spain
http://example.com/heritage/id/106925993w,Pazo de Monroi,Spain
http://example.com/heritage/id/106925995w,Pazo de Pedrosa,Spain
http://example.com/heritage/id/106934w,Notre-Dame d'Amiens,France
http://example.com/heritage/id/106936971w,Church of Saint Michael dos Agros,Spain
http://example.com/heritage/id/106938022w,Teatro Clunia,Spain
http://example.com/heritage/id/106940602w,Christ's Chapel in the Church of Saint Michael dos Agros,Spain
http://example.com/heritage/id/106940603w,Gothic Chapel in the Church of Saint Michael dos Agros,Spain
http://example.com/heritage/id/106942586w,"Monumento al Empecinado, Burgos",Spain
http://example.com/heritage/id/106942646w,"Solar del Cid, Burgos",Spain
http://example.com/heritage/id/106957989w,Church of Saint Dominic of Bonaval,Spain
http://example.com/heritage/id/106959690w,Central University of Santiago de Compostela building,Spain
http://example.com/heritage/id/106963996w,Hotel AC Burgos,Spain
http://example.com/heritage/id/106965283w,Puente de Malatos,Spain
http://example.com/heritage/id/106977892w,"Delegación de Hacienda, Burgos",Spain
http://example.com/heritage/id/1070863w,Kōfuku-ji,Japan
http://example.com/heritage/id/1070w,Ahmedabad,India
http://example.com/heritage/id/1071495w,Villa Barbaro,Italy
http://example.com/heritage/id/107183452w,Ruins of Aksum,Ethiopia
http://example.com/heritage/id/1072125w,Chichijima,Japan
http://example.com/heritage/id/1072369w,Chief Roi Mata’s Domain,Vanuatu
http://example.com/heritage/id/10724627w,Ziestu,Latvia
http://example.com/heritage/id/10729198w,Diriyah  governorate,Saudi Arabia
http://example.com/heritage/id/107370w,Þingvellir,Iceland
http://example.com/heritage/id/1074330w,Qutb complex,India
http://example.com/heritage/id/107482578w,Historic town of Grand-Bassam,Ivory Coast
http://example.com/heritage/id/10749904w,Historic centre of Córdoba,Spain
http://example.com/heritage/id/1075023w,Chitwan National Park,Nepal
http://example.com/heritage/id/107509137w,porte Saint-Jacques,France
http://example.com/heritage/id/1075172w,Moldovița Monastery,Romania
http://example.com/heritage/id/107558402w,Castra Hunnerberg,Netherlands
http://example.com/heritage/id/1075681w,Historic Centre of Sighișoara,Romania
http://example.com/heritage/id/1075808w,San Benedicto Island,Mexico
http://example.com/heritage/id/1076391w,Iglesias,Spain
http://example.com/heritage/id/1076650w,Humble Administrator's Garden,People's Republic of China
http://example.com/heritage/id/107674350w,Padua's fourteenth-century fresco cycles,Italy
